"title" "link" "director" "star" "quote"
                        " "8.9" "当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。"
"102" "美国往事" "https://movie.douban.com/subject/1292262/" "
                                当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
                            " "9.1" "往事如烟，无处祭奠。"
"103" "七宗罪" "https://movie.douban.com/subject/1292223/" "
                            导演: Sergio Leone<U+00A0><U+00A0><U+00A0>主演: 罗伯特·德尼罗 Robert De Niro / 詹姆斯·伍兹 ...
                            1984<U+00A0>/<U+00A0>意大利 美国<U+00A0>/<U+00A0>犯罪 剧情
                        " "8.7" "警察抓小偷，老鼠玩死猫。"
"104" "钢琴家" "https://movie.douban.com/subject/1296736/" "
                                往事如烟，无处祭奠。
                            " "9.0" "音乐能化解仇恨。"
"105" "狮子王" "https://movie.douban.com/subject/1301753/" "
                            导演: 大卫·芬奇 David Fincher<U+00A0><U+00A0><U+00A0>主演: 摩根·弗里曼 Morgan Freeman / 布...
                            1995<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情 犯罪 悬疑 惊悚
                        " "8.9" "动物版《哈姆雷特》。"
"106" "被嫌弃的松子的一生" "https://movie.douban.com/subject/1787291/" "
                                警察抓小偷，老鼠玩死猫。
                            " "8.9" "以戏谑来戏谑戏谑。"
"107" "致命魔术" "https://movie.douban.com/subject/1780330/" "
                            导演: 罗曼·波兰斯基 Roman Polanski<U+00A0><U+00A0><U+00A0>主演: 艾德里安·布洛迪 Adrien Brod...
                            2002<U+00A0>/<U+00A0>法国 德国 英国 波兰<U+00A0>/<U+00A0>剧情 传记 历史 战争
                        " "8.8" "孪生蝙蝠侠大战克隆金刚狼。"
"108" "辩护人" "https://movie.douban.com/subject/21937445/" "
                                音乐能化解仇恨。
                            " "9.1" "电影的现实意义大过电影本身。"
