"movie_title" "movie_detail" "movie_num" "movie_evaluate" "link"
                            导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski<U+00A0><U+00A0><U+00A0>主...
                            1999<U+00A0>/<U+00A0>美国 澳大利亚<U+00A0>/<U+00A0>动作 科幻
                        " "8.8" "262648人评价" "https://movie.douban.com/subject/1291843/"
"71" "拯救大兵瑞恩" "
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg<U+00A0><U+00A0><U+00A0>主演: 汤姆·汉克斯 Tom Hanks...
                            1998<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情 历史 战争
                        " "8.8" "220825人评价" "https://movie.douban.com/subject/1292849/"
"72" "玛丽和马克思" "
                            导演: Adam Elliot<U+00A0><U+00A0><U+00A0>主演: 托妮·科莱特 Toni Collette / 菲利普·塞默·霍...
                            2009<U+00A0>/<U+00A0>澳大利亚<U+00A0>/<U+00A0>剧情 爱情 动画
                        " "8.9" "223799人评价" "https://movie.douban.com/subject/3072124/"
"73" "西西里的美丽传说" "
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore<U+00A0><U+00A0><U+00A0>主演: 莫妮卡·贝鲁奇 Monica ...
                            2000<U+00A0>/<U+00A0>意大利 美国<U+00A0>/<U+00A0>剧情 战争 情色
                        " "8.7" "320746人评价" "https://movie.douban.com/subject/1292402/"
"74" "素媛" "
                            导演: 李濬益 Jun-ik Lee<U+00A0><U+00A0><U+00A0>主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...
                            2013<U+00A0>/<U+00A0>韩国<U+00A0>/<U+00A0>剧情 家庭
                        " "9.1" "158515人评价" "https://movie.douban.com/subject/21937452/"
"75" "心灵捕手" "
                            导演: 格斯·范·桑特 Gus Van Sant<U+00A0><U+00A0><U+00A0>主演: 马特·达蒙 Matt Damon / 罗宾·...
                            1997<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情
                        " "8.7" "252093人评价" "https://movie.douban.com/subject/1292656/"
"76" "幽灵公主" "
                            导演: 宫崎骏<U+00A0><U+00A0><U+00A0>主演: 松田洋治 / 石田百合子 / 田中裕子
                            1997<U+00A0>/<U+00A0>日本<U+00A0>/<U+00A0>动画 冒险 奇幻
                        " "8.8" "220359人评价" "https://movie.douban.com/subject/1297359/"
"77" "第六感" "
                            导演: M·奈特·沙马兰 M. Night Shyamalan<U+00A0><U+00A0><U+00A0>主演: 布鲁斯·威利斯 Bruce Wi...
                            1999<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情 悬疑 恐怖
                        " "8.8" "218854人评价" "https://movie.douban.com/subject/1297630/"
"78" "阳光灿烂的日子" "
                            导演: 姜文 Wen Jiang<U+00A0><U+00A0><U+00A0>主演: 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao
                            1994<U+00A0>/<U+00A0>中国大陆 香港<U+00A0>/<U+00A0>剧情
                        " "8.7" "253476人评价" "https://movie.douban.com/subject/1291875/"
"79" "让子弹飞" "
                            导演: 姜文 Wen Jiang<U+00A0><U+00A0><U+00A0>主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...
                            2010<U+00A0>/<U+00A0>中国大陆 香港<U+00A0>/<U+00A0>剧情 喜剧 动作 西部
                        " "8.7" "590153人评价" "https://movie.douban.com/subject/3742360/"
"80" "春光乍泄" "
                            导演: 王家卫<U+00A0><U+00A0><U+00A0>主演: 张国荣 / 梁朝伟 / 张震
                            1997<U+00A0>/<U+00A0>香港 日本 韩国<U+00A0>/<U+00A0>剧情 爱情 同性
                        " "8.8" "225500人评价" "https://movie.douban.com/subject/1292679/"
"81" "大鱼" "
                            导演: 蒂姆·波顿 Tim Burton<U+00A0><U+00A0><U+00A0>主演: 伊万·麦克格雷格 Ewan McGregor / 阿...
                            2003<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情 家庭 奇幻 冒险
                        " "8.7" "235882人评价" "https://movie.douban.com/subject/1291545/"
"82" "大闹天宫" "
                            导演: 万籁鸣 Laiming Wan / 唐澄 Cheng  Tang<U+00A0><U+00A0><U+00A0>主演: 邱岳峰 Yuefeng Qiu /...
